date,temp_max_f,temp_min_f,precip_mm,snowfall_mm,wind_max_mph,cloud_cover_pct,temp_7d_mean,temp_delta,temp_surge_flag,aqi_pm25,aqi_o3_ugm3,aqi_o3,aqi_pm25_airnow,aqi_overall,aqi_o3_lag3,aqi_o3_lag4,aqi_o3_lag5,nssp_flu_pct,nssp_covid_pct,nwss_percentile,crime_violent_7d,row_permits_catchment,is_holiday,day_of_week,event_attendance
2024-07-01,78.8,61.5,0,0,10.3,29,88.9,-10.1,0,8.6,123.0,,,,134.0,125.0,124.0,,,,30534,159,0,0,1
2024-07-02,92.3,59.3,0,0,7.1,46,87.6,4.7,0,11.1,152.0,,,,152.0,134.0,125.0,,,,30374,159,0,1,1
2024-07-03,92.8,76.5,10.8,0,14.4,62,87.3,5.5,0,21.1,150.0,,,,107.0,152.0,134.0,,,,30206,159,0,2,1
2024-07-04,89.7,74.0,10.5,0,13.4,98,88.5,1.2,0,21.8,130.0,,,,123.0,107.0,152.0,,,,30057,159,1,3,1
2024-07-05,86.7,72.1,15.1,0,9.5,60,89.2,-2.5,0,21.9,125.0,,,,152.0,123.0,107.0,,,,29859,159,0,4,1
2024-07-06,85.4,65.8,0,0,6.9,41,88.5,-3.1,0,16.5,113.0,,,,150.0,152.0,123.0,,,,29682,159,0,5,1
2024-07-07,86.8,65.6,0,0,4.8,23,87.4,-0.6,0,17.6,148.0,,,,130.0,150.0,152.0,,,,29512,159,0,6,1
2024-07-08,90.4,68.4,0,0,4.0,83,87.5,2.9,0,17.3,158.0,,,,125.0,130.0,150.0,,,,29369,159,0,0,1
2024-07-09,88.3,73.6,16.3,0,11.5,83,89.2,-0.9,0,17.5,140.0,,,,113.0,125.0,130.0,,,,29188,159,0,1,1
2024-07-10,84.4,68.8,1.2,0,16.4,47,88.6,-4.2,0,20.3,128.0,,,,148.0,113.0,125.0,,,,29029,159,0,2,1
2024-07-11,87.1,67.0,0.2,0,3.8,11,87.4,-0.3,0,25.8,138.0,,,,158.0,148.0,113.0,,,,28847,159,0,3,1
2024-07-12,87.9,68.3,1.2,0,8.5,18,87.0,0.9,0,25.4,154.0,,,,140.0,158.0,148.0,,,,28680,159,0,4,1
2024-07-13,89.6,68.9,0.5,0,4.5,20,87.2,2.4,0,24.3,157.0,,,,128.0,140.0,158.0,,,,28513,159,0,5,1
2024-07-14,92.0,70.8,0.1,0,8.8,9,87.8,4.2,0,25.0,152.0,,,,138.0,128.0,140.0,,,,28364,159,0,6,1
2024-07-15,94.9,73.8,0,0,9.3,10,88.5,6.4,0,20.4,159.0,,,,154.0,138.0,128.0,,,,28219,159,0,0,1
2024-07-16,91.5,75.7,0.3,0,12.7,77,89.2,2.3,0,25.1,138.0,,,,157.0,154.0,138.0,,,,28011,159,0,1,1
2024-07-17,85.3,73.8,2.3,0,8.5,92,89.6,-4.3,0,24.2,125.0,,,,152.0,157.0,154.0,,,,27851,159,0,2,1
2024-07-18,80.1,66.8,0,0,9.9,35,89.8,-9.7,0,17.9,104.0,,,,159.0,152.0,157.0,,,,27667,159,0,3,1
2024-07-19,83.3,61.8,0,0,6.8,33,88.8,-5.5,0,9.3,130.0,,,,138.0,159.0,152.0,,,,27507,159,0,4,1
2024-07-20,85.8,66.1,0,0,7.2,36,88.1,-2.3,0,13.2,144.0,,,,125.0,138.0,159.0,,,,27334,159,0,5,1
2024-07-21,83.9,67.1,0.4,0,9.0,78,87.6,-3.7,0,20.3,130.0,,,,104.0,125.0,138.0,,,,27180,159,0,6,1
2024-07-22,84.4,68.3,0.5,0,7.9,72,86.4,-2.0,0,28.6,155.0,,,,130.0,104.0,125.0,,,,27014,159,0,0,1
2024-07-23,85.9,66.8,0,0,5.1,74,84.9,1.0,0,25.7,148.0,,,,144.0,130.0,104.0,,,,26838,159,0,1,1
2024-07-24,86.4,69.3,0.2,0,6.3,91,84.1,2.3,0,31.8,155.0,,,,130.0,144.0,130.0,,,,26638,159,0,2,1
2024-07-25,87.5,69.2,0,0,7.6,85,84.3,3.2,0,30.2,131.0,,,,155.0,130.0,144.0,,,,26450,159,0,3,1
2024-07-26,86.3,67.9,0,0,6.0,89,85.3,1.0,0,26.6,140.0,,,,148.0,155.0,130.0,,,,26275,159,0,4,1
2024-07-27,89.9,65.2,0,0,5.5,95,85.7,4.2,0,35.2,147.0,,,,155.0,148.0,155.0,,,,26127,159,0,5,1
2024-07-28,85.5,72.0,1.9,0,9.9,92,86.3,-0.8,0,32.8,96.0,,,,131.0,155.0,148.0,,,,25951,159,0,6,1
2024-07-29,87.4,70.9,21.3,0,13.4,79,86.6,0.8,0,22.6,132.0,,,,140.0,131.0,155.0,,,,25788,159,0,0,1
2024-07-30,90.2,70.2,15.6,0,11.2,46,87.0,3.2,0,19.4,136.0,,,,147.0,140.0,131.0,,,,25571,159,0,1,1
2024-07-31,89.3,71.2,6.1,0,8.8,51,87.6,1.7,0,17.9,140.0,,,,96.0,147.0,140.0,,,,25406,159,0,2,1
2024-08-01,91.2,73.8,11.7,0,10.8,77,88.0,3.2,0,28.5,141.0,,,,132.0,96.0,147.0,,,,25261,159,0,3,1
2024-08-02,82.6,71.2,11.4,0,9.2,41,88.5,-5.9,0,25.8,112.0,,,,136.0,132.0,96.0,,,,25110,159,0,4,1
2024-08-03,85.8,69.0,2.0,0,6.9,20,88.0,-2.2,0,16.8,118.0,,,,140.0,136.0,132.0,,,,24926,159,0,5,1
2024-08-04,88.5,69.2,0,0,4.2,4,87.4,1.1,0,26.3,136.0,,,,141.0,140.0,136.0,,,,24743,159,0,6,1
2024-08-05,90.1,70.9,0,0,4.1,39,87.9,2.2,0,27.8,152.0,,,,112.0,141.0,140.0,,,,24582,159,0,0,1
2024-08-06,91.0,72.0,0,0,5.9,7,88.2,2.8,0,26.4,171.0,,,,118.0,112.0,141.0,,,,24414,159,0,1,1
2024-08-07,85.6,73.8,1.0,0,9.5,47,88.4,-2.8,0,25.4,140.0,,,,136.0,118.0,112.0,,,,24236,159,0,2,0
2024-08-08,86.3,69.1,0,0,9.9,39,87.8,-1.5,0,19.6,126.0,,,,152.0,136.0,118.0,,,,24087,159,0,3,0
2024-08-09,84.4,68.3,0,0,9.3,35,87.1,-2.7,0,22.0,124.0,,,,171.0,152.0,136.0,,,,23910,159,0,4,0
2024-08-10,77.6,60.7,0,0,8.0,11,87.4,-9.8,0,13.0,92.0,,,,140.0,171.0,152.0,,,,23744,159,0,5,1
2024-08-11,78.4,62.4,0,0,6.2,48,86.2,-7.8,0,14.8,95.0,,,,126.0,140.0,171.0,,,,23563,159,0,6,1
2024-08-12,79.4,59.3,0.5,0,4.8,46,84.8,-5.4,0,16.2,128.0,,,,124.0,126.0,140.0,,,,23380,159,0,0,0
2024-08-13,83.4,65.6,0,0,3.9,72,83.2,0.2,0,16.5,143.0,,,,92.0,124.0,126.0,,,,23196,159,0,1,0
2024-08-14,85.8,64.7,0,0,5.1,36,82.2,3.6,0,17.5,130.0,,,,95.0,92.0,124.0,,,,23022,159,0,2,0
2024-08-15,88.2,64.9,0,0,6.5,76,82.2,6.0,0,17.5,134.0,,,,128.0,95.0,92.0,,,,22864,159,0,3,0
2024-08-16,89.0,70.4,9.4,0,12.5,56,82.5,6.5,0,21.4,121.0,,,,143.0,128.0,95.0,,,,22739,159,0,4,0
2024-08-17,88.2,70.7,0.2,0,11.9,17,83.1,5.1,0,20.1,137.0,,,,130.0,143.0,128.0,,,,22569,159,0,5,1
2024-08-18,80.6,68.1,6.0,0,8.7,30,84.6,-4.0,0,12.1,96.0,,,,134.0,130.0,143.0,,,,22410,159,0,6,1
2024-08-19,80.6,65.7,0,0,12.1,13,84.9,-4.3,0,14.5,111.0,,,,121.0,134.0,130.0,,,,22270,159,0,0,0
2024-08-20,74.6,59.5,0,0,9.8,22,85.1,-10.5,0,17.3,115.0,,,,137.0,121.0,134.0,,,,22079,159,0,1,0
2024-08-21,75.0,55.7,0,0,8.4,38,83.9,-8.9,0,18.6,116.0,,,,96.0,137.0,121.0,,,,21905,159,0,2,0
2024-08-22,79.6,55.2,0,0,7.4,13,82.3,-2.7,0,16.5,115.0,,,,111.0,96.0,137.0,,,,21745,159,0,3,0
2024-08-23,84.4,56.6,0,0,5.4,34,81.1,3.3,0,16.4,151.0,,,,115.0,111.0,96.0,,,,21559,159,0,4,0
2024-08-24,88.7,63.0,0,0,5.3,22,80.4,8.3,0,15.2,153.0,,,,116.0,115.0,111.0,,,,21388,159,0,5,1
2024-08-25,89.6,64.8,0,0,4.8,59,80.5,9.1,0,17.9,152.0,,,,115.0,116.0,115.0,,,,21233,159,0,6,1
2024-08-26,90.1,64.0,0,0,5.0,0,81.8,8.3,0,14.4,158.0,,,,151.0,115.0,116.0,,,,21072,159,0,0,0
2024-08-27,94.5,68.0,0,0,4.9,23,83.1,11.4,0,22.6,188.0,,,,153.0,151.0,115.0,,,,20890,159,0,1,0
2024-08-28,95.6,70.4,0,0,7.6,10,86.0,9.6,0,19.8,175.0,,,,152.0,153.0,151.0,,,,20728,159,0,2,0
2024-08-29,95.2,71.2,0,0,9.2,25,88.9,6.3,0,23.1,170.0,,,,158.0,152.0,153.0,,,,20534,159,0,3,0
2024-08-30,94.2,71.1,0.3,0,9.9,15,91.2,3.0,0,20.0,162.0,,,,188.0,158.0,152.0,,,,20385,159,0,4,0
2024-08-31,87.9,71.6,14.1,0,7.6,85,92.6,-4.7,0,16.2,111.0,,,,175.0,188.0,158.0,,,,20194,159,0,5,1
2024-09-01,86.6,71.3,9.9,0,9.6,58,92.4,-5.8,0,14.3,104.0,,,,170.0,175.0,188.0,,,,19992,159,0,6,1
2024-09-02,79.5,65.8,0,0,11.0,2,92.0,-12.5,0,12.7,105.0,,,,162.0,170.0,175.0,,,,19809,159,1,0,1
2024-09-03,80.9,59.9,0,0,8.9,85,90.5,-9.6,0,10.2,106.0,,,,111.0,162.0,170.0,,,,19657,159,0,1,0
2024-09-04,84.2,64.2,0,0,5.2,85,88.6,-4.4,0,15.9,128.0,,,,104.0,111.0,162.0,,,,19474,159,0,2,0
2024-09-05,86.7,64.2,0,0,5.3,5,86.9,-0.2,0,16.2,144.0,,,,105.0,104.0,111.0,,,,19340,159,0,3,0
2024-09-06,86.9,66.0,1.9,0,14.3,23,85.7,1.2,0,16.2,132.0,,,,106.0,105.0,104.0,,,,19167,159,0,4,0
2024-09-07,70.1,56.3,0,0,12.4,11,84.7,-14.6,0,8.5,80.0,,,,128.0,106.0,105.0,,,,18990,159,0,5,1
2024-09-08,71.7,50.7,0,0,5.8,1,82.1,-10.4,0,31.1,109.0,,,,144.0,128.0,106.0,,,,18825,159,0,6,1
2024-09-09,77.4,51.3,0,0,5.1,0,80.0,-2.6,0,31.2,129.0,,,,132.0,144.0,128.0,,,,18660,159,0,0,0
2024-09-10,82.8,54.7,0,0,5.1,11,79.7,3.1,0,23.7,135.0,,,,80.0,132.0,144.0,,,,18482,159,0,1,0
2024-09-11,86.4,56.9,0,0,5.5,6,80.0,6.4,0,18.8,132.0,,,,109.0,80.0,132.0,,,,18304,159,0,2,0
2024-09-12,85.9,60.6,0,0,9.8,95,80.3,5.6,0,17.7,126.0,,,,129.0,109.0,80.0,,,,18136,159,0,3,0
2024-09-13,77.1,66.5,5.8,0,11.3,89,80.2,-3.1,0,12.4,77.0,,,,135.0,129.0,109.0,,,,17971,159,0,4,0
2024-09-14,87.8,66.4,0,0,9.8,16,78.8,9.0,0,7.7,84.0,,,,132.0,135.0,129.0,,,,17823,159,0,5,1
2024-09-15,87.2,65.8,0,0,7.0,6,81.3,5.9,0,7.4,81.0,,,,126.0,132.0,135.0,,,,17655,159,0,6,1
2024-09-16,86.2,63.2,0,0,6.0,3,83.5,2.7,0,12.3,94.0,,,,77.0,126.0,132.0,,,,17502,159,0,0,0
2024-09-17,78.8,58.3,0,0,7.9,58,84.8,-6.0,0,11.8,114.0,,,,84.0,77.0,126.0,,,,17334,159,0,1,0
2024-09-18,83.7,64.0,0,0,5.9,31,84.2,-0.5,0,16.1,114.0,,,,81.0,84.0,77.0,,,,17198,159,0,2,0
2024-09-19,89.1,64.5,0,0,5.5,47,83.8,5.3,0,16.2,121.0,,,,94.0,81.0,84.0,,,,17057,159,0,3,0
2024-09-20,90.5,64.3,0,0,6.8,17,84.3,6.2,0,14.6,131.0,,,,114.0,94.0,81.0,,,,16902,159,0,4,0
2024-09-21,88.5,69.1,0.6,0,5.2,48,86.2,2.3,0,16.2,135.0,,,,114.0,114.0,94.0,,,,16756,159,0,5,1
2024-09-22,79.9,69.3,7.8,0,5.6,81,86.3,-6.4,0,15.9,113.0,,,,121.0,114.0,114.0,,,,16596,159,0,6,1
2024-09-23,81.4,67.0,2.1,0,7.0,77,85.2,-3.8,0,12.6,93.0,,,,131.0,121.0,114.0,,,,16477,159,0,0,0
2024-09-24,79.1,67.3,12.0,0,11.9,49,84.6,-5.5,0,14.8,100.0,,,,135.0,131.0,121.0,,,,16346,159,0,1,0
2024-09-25,74.9,62.2,0.2,0,5.5,76,84.6,-9.7,0,23.2,100.0,,,,113.0,135.0,131.0,,,,16199,159,0,2,0
2024-09-26,79.6,60.4,2.5,0,11.8,42,83.3,-3.7,0,23.3,104.0,,,,93.0,113.0,135.0,,,,16045,159,0,3,0
2024-09-27,70.2,66.1,64.4,0,24.5,100,82.0,-11.8,0,10.9,75.0,,,,100.0,93.0,113.0,,,,15883,159,0,4,0
2024-09-28,67.1,65.0,39.7,0,14.9,100,79.1,-12.0,0,10.6,82.0,,,,100.0,100.0,93.0,,,,15733,159,0,5,1
2024-09-29,75.9,64.8,1.7,0,7.3,86,76.0,-0.1,0,9.8,87.0,,,,104.0,100.0,100.0,,,,15577,159,0,6,1
2024-09-30,78.3,62.4,0.5,0,3.8,48,75.5,2.8,0,14.3,112.0,,,,75.0,104.0,100.0,,,,15428,159,0,0,0
2024-10-01,78.9,63.0,0.9,0,11.1,28,75.0,3.9,0,14.5,95.0,,,,82.0,75.0,104.0,,,,15260,159,0,1,0
2024-10-02,71.1,53.7,0,0,10.0,17,75.0,-3.9,0,12.3,98.0,,,,87.0,82.0,75.0,,,,15105,159,0,2,0
2024-10-03,76.0,51.8,0,0,4.2,21,74.4,1.6,0,12.2,117.0,,,,112.0,87.0,82.0,,,,14962,159,0,3,0
2024-10-04,78.9,57.3,0,0,5.4,3,73.9,5.0,0,10.4,142.0,,,,95.0,112.0,87.0,,,,14781,159,0,4,0
2024-10-05,81.3,58.9,0,0,5.3,9,75.2,6.1,0,10.3,139.0,,,,98.0,95.0,112.0,,,,14632,159,0,5,1
2024-10-06,84.7,61.3,0,0,10.8,1,77.2,7.5,0,11.3,139.0,,,,117.0,98.0,95.0,,,,14481,159,0,6,1
2024-10-07,68.3,54.0,0,0,8.5,0,78.5,-10.2,0,7.6,88.0,,,,142.0,117.0,98.0,,,,14321,159,0,0,1
2024-10-08,70.2,50.3,0,0,5.8,0,77.0,-6.8,0,5.6,95.0,,,,139.0,142.0,117.0,,,,14128,159,0,1,1
2024-10-09,74.5,52.6,0,0,5.6,10,75.8,-1.3,0,10.1,103.0,,,,139.0,139.0,142.0,,,,13976,159,0,2,1
2024-10-10,73.5,50.5,0,0,5.9,0,76.3,-2.8,0,10.0,108.0,,,,88.0,139.0,139.0,,,,13792,159,0,3,1
2024-10-11,73.6,47.3,0,0,5.9,0,75.9,-2.3,0,12.1,118.0,,,,95.0,88.0,139.0,,,,13657,159,0,4,1
2024-10-12,79.6,51.3,0,0,8.6,25,75.2,4.4,0,12.6,122.0,,,,103.0,95.0,88.0,,,,13471,159,0,5,1
2024-10-13,78.8,62.0,0,0,14.3,17,74.9,3.9,0,11.8,105.0,,,,108.0,103.0,95.0,,,,13294,159,0,6,1
2024-10-14,59.0,49.3,0,0,12.1,58,74.1,-15.1,0,9.2,72.0,,,,118.0,108.0,103.0,,,,13143,159,0,0,0
2024-10-15,56.0,42.8,3.6,0,13.8,71,72.7,-16.7,0,9.4,70.0,,,,122.0,118.0,108.0,,,,12957,159,0,1,0
2024-10-16,55.0,39.8,0,0,13.7,29,70.7,-15.7,0,9.4,71.0,,,,105.0,122.0,118.0,,,,12824,159,0,2,0
2024-10-17,59.5,38.9,0,0,5.1,32,67.9,-8.4,0,11.6,82.0,,,,72.0,105.0,122.0,,,,12683,159,0,3,0
2024-10-18,65.1,39.6,0,0,6.5,0,65.9,-0.8,0,10.3,102.0,,,,70.0,72.0,105.0,,,,12582,159,0,4,0
2024-10-19,68.7,43.5,0,0,6.6,1,64.7,4.0,0,12.8,126.0,,,,71.0,70.0,72.0,,,,12456,159,0,5,1
2024-10-20,69.5,46.5,0,0,6.6,28,63.2,6.3,0,15.4,140.0,,,,82.0,71.0,70.0,,,,12321,159,0,6,1
2024-10-21,71.4,44.2,0,0,7.0,17,61.8,9.6,0,15.7,140.0,,,,102.0,82.0,71.0,,,,12177,159,0,0,0
2024-10-22,77.4,46.2,0,0,10.8,7,63.6,13.8,0,10.2,127.0,,,,126.0,102.0,82.0,,,,12022,159,0,1,0
2024-10-23,77.3,56.6,0,0,11.0,29,66.7,10.6,0,,,,,,140.0,126.0,102.0,,,,11876,159,0,2,0
2024-10-24,64.8,44.4,0,0,8.1,0,69.8,-5.0,0,8.7,78.0,,,,140.0,140.0,126.0,,,,11737,159,0,3,0
2024-10-25,77.4,48.8,0.4,0,12.0,31,70.6,6.8,0,19.2,114.0,,,,127.0,140.0,140.0,,,,11575,159,0,4,0
2024-10-26,64.6,49.3,1.9,0,12.1,35,72.4,-7.8,0,14.9,86.0,,,,,127.0,140.0,,,,11411,159,0,5,1
2024-10-27,62.6,42.3,0,0,6.0,33,71.8,-9.2,0,7.3,89.0,,,,78.0,115.0,127.0,,,,11236,159,0,6,1
2024-10-28,72.2,40.3,0,0,7.8,49,70.8,1.4,0,10.9,96.0,,,,114.0,78.0,115.0,,,,11100,159,0,0,0
2024-10-29,78.3,61.0,0,0,12.6,69,70.9,7.4,0,11.8,112.0,,,,86.0,114.0,78.0,,,,10925,159,0,1,0
2024-10-30,77.1,59.4,0,0,10.6,29,71.0,6.1,0,9.6,102.0,,,,89.0,86.0,114.0,,,,10785,159,0,2,0
2024-10-31,72.3,62.4,23.0,0,16.9,83,71.0,1.3,0,9.7,76.0,,,,96.0,89.0,86.0,,,,10637,159,0,3,0
2024-11-01,62.4,46.5,0.1,0,10.3,29,72.1,-9.7,0,10.0,83.0,,,,112.0,96.0,89.0,,,,10498,159,0,4,0
2024-11-02,64.5,42.0,0,0,6.5,37,69.9,-5.4,0,5.3,82.0,,,,102.0,112.0,96.0,,,,10328,159,0,5,1
2024-11-03,77.0,45.9,0,0,10.8,65,69.9,7.1,0,10.3,86.0,,,,76.0,102.0,112.0,,,,10180,159,0,6,1
2024-11-04,76.3,62.7,0,0,14.1,73,72.0,4.3,0,10.3,81.0,,,,83.0,76.0,102.0,,,,10020,159,0,0,0
2024-11-05,77.6,64.5,0,0,19.1,59,72.6,5.0,0,6.8,82.0,,,,82.0,83.0,76.0,,,,9867,159,0,1,0
2024-11-06,71.7,65.2,24.9,0,15.8,93,72.5,-0.8,0,11.0,74.0,,,,86.0,82.0,83.0,,,,9708,159,0,2,0
2024-11-07,65.0,54.5,0,0,9.1,75,71.7,-6.7,0,10.6,71.0,,,,81.0,86.0,82.0,,,,9542,159,0,3,0
2024-11-08,62.9,44.8,0,0,6.0,48,70.6,-7.7,0,10.0,75.0,,,,82.0,81.0,86.0,,,,9391,159,0,4,0
2024-11-09,64.8,48.3,0.2,0,7.3,98,70.7,-5.9,0,5.7,47.0,,,,74.0,82.0,81.0,,,,9229,159,0,5,1
2024-11-10,68.4,56.9,48.3,0,15.5,91,70.8,-2.4,0,7.4,74.0,,,,71.0,74.0,82.0,,,,9082,159,0,6,1
2024-11-11,63.3,46.7,0.1,0,9.2,4,69.5,-6.2,0,7.7,68.0,,,,75.0,71.0,74.0,,,,8933,159,1,0,1
2024-11-12,54.4,42.3,0,0,8.5,13,67.7,-13.3,0,4.1,61.0,,,,47.0,75.0,71.0,,,,8775,159,0,1,0
2024-11-13,62.6,41.6,15.3,0,10.8,94,64.4,-1.8,0,9.1,68.0,,,,74.0,47.0,75.0,,,,8634,159,0,2,0
2024-11-14,59.7,50.9,17.9,0,12.0,88,63.1,-3.4,0,6.8,74.0,,,,68.0,74.0,47.0,,,,8507,159,0,3,0
2024-11-15,55.0,49.0,0,0,7.0,100,62.3,-7.3,0,10.5,60.0,,,,61.0,68.0,74.0,,,,8356,159,0,4,0
2024-11-16,56.2,47.0,0,0,5.7,57,61.2,-5.0,0,11.7,69.0,,,,68.0,61.0,68.0,,,,8212,159,0,5,1
2024-11-17,64.5,42.5,0,0,7.2,88,59.9,4.6,0,6.0,92.0,,,,74.0,68.0,61.0,,,,8074,159,0,6,1
2024-11-18,69.1,54.2,0,0,9.4,99,59.4,9.7,0,10.5,83.0,,,,60.0,74.0,68.0,,,,7925,159,0,0,0
2024-11-19,70.7,54.7,7.7,0,10.5,60,60.2,10.5,0,13.1,94.0,,,,69.0,60.0,74.0,,,,7750,159,0,1,0
2024-11-20,53.3,45.4,0.6,0,13.6,29,62.5,-9.2,0,20.2,86.0,,,,92.0,69.0,60.0,,,,7617,159,0,2,0
2024-11-21,45.2,36.1,2.6,0.98,15.9,86,61.2,-16.0,0,11.1,70.0,,,,83.0,92.0,69.0,,,,7460,159,0,3,0
2024-11-22,46.9,35.2,1.4,0,14.6,85,59.1,-12.2,0,6.2,52.0,,,,94.0,83.0,92.0,,,,7335,159,0,4,0
2024-11-23,45.7,38.8,0,0,9.0,88,58.0,-12.3,0,21.2,58.0,,,,86.0,94.0,83.0,,,,7170,159,0,5,1
2024-11-24,58.6,35.2,0,0,8.0,76,56.5,2.1,0,26.7,70.0,,,,70.0,86.0,94.0,,,,7030,159,0,6,1
2024-11-25,66.6,50.6,6.5,0,14.7,85,55.6,11.0,0,15.9,80.0,,,,52.0,70.0,86.0,,,,6895,159,0,0,1
2024-11-26,49.8,35.7,0.1,0,10.9,55,55.3,-5.5,0,16.0,59.0,,,,58.0,52.0,70.0,,,,6739,159,0,1,1
2024-11-27,46.8,38.8,6.2,0,5.2,100,52.3,-5.5,0,12.1,36.0,,,,70.0,58.0,52.0,,,,6589,159,0,2,1
2024-11-28,45.0,36.2,4.6,0,10.7,100,51.4,-6.4,0,13.0,58.0,,,,80.0,70.0,58.0,,,,6437,159,1,3,1
2024-11-29,37.9,28.1,0,0,13.3,53,51.3,-13.4,0,4.8,74.0,,,,59.0,80.0,70.0,,,,6288,159,0,4,1
2024-11-30,36.7,22.9,1.1,0.77,8.5,66,50.1,-13.4,0,15.7,76.0,,,,36.0,59.0,80.0,,,,6139,159,0,5,1
2024-12-01,33.3,27.0,0.8,0.63,6.2,63,48.8,-15.5,0,18.3,72.0,,,,58.0,36.0,59.0,,,,5988,159,0,6,1
2024-12-02,30.7,19.5,0.4,0.28,7.1,55,45.2,-14.5,0,13.5,60.0,,,,74.0,58.0,36.0,,,,5841,159,0,0,0
2024-12-03,30.2,25.4,0,0,7.8,84,40.0,-9.8,0,9.6,60.0,,,,76.0,74.0,58.0,,,,5679,159,0,1,0
2024-12-04,47.2,23.5,2.5,0.49,14.6,43,37.2,10.0,0,10.0,72.0,,,,72.0,76.0,74.0,,,,5533,159,0,2,0
2024-12-05,44.8,18.5,0.1,0,15.1,16,37.3,7.5,0,4.8,78.0,,,,60.0,72.0,76.0,,,,5394,159,0,3,0
2024-12-06,33.2,17.6,0,0,5.6,3,37.3,-4.1,0,6.1,65.0,,,,60.0,60.0,72.0,,,,5307,159,0,4,0
2024-12-07,44.8,23.6,0,0,9.7,0,36.6,8.2,0,6.2,57.0,,,,72.0,60.0,60.0,,,,5173,159,0,5,1
2024-12-08,56.1,40.4,1.2,0,11.4,52,37.7,18.4,1,8.4,62.0,,,,78.0,72.0,60.0,,,,5050,159,0,6,1
2024-12-09,56.5,48.8,14.8,0,11.7,94,41.0,15.5,1,22.6,69.0,,,,65.0,78.0,72.0,,,,4903,159,0,0,0
2024-12-10,51.7,36.8,1.3,0,8.9,100,44.7,7.0,0,22.6,38.0,,,,57.0,65.0,78.0,,,,4777,159,0,1,0
2024-12-11,39.7,31.0,0.3,0.14,13.2,74,47.8,-8.1,0,7.7,72.0,,,,62.0,57.0,65.0,,,,4638,159,0,2,0
2024-12-12,37.8,23.6,0,0,8.8,11,46.7,-8.9,0,6.7,82.0,,,,69.0,62.0,57.0,,,,4504,159,0,3,0
2024-12-13,40.8,24.1,0,0,5.6,86,45.7,-4.9,0,13.3,44.0,,,,38.0,69.0,62.0,,,,4363,159,0,4,0
